"shop_no","rgn2_nm","content"
"621173","동작구","아시안, 담백, 친구들이랑, 쌀덕후, 진한국물, 속이든든한, 여자들끼리, 태국식소고기팟타이, 면덕후, 혼밥, 푸짐한, 이색맛집, 점저, 졸맛, 맛점, 쌀쌀할때, 밥집, 탄성자동발사, 점심, 짱맛, 세트메뉴가있는, 양지차돌박이쌀국수, 중독성쩔어, 부담없는, 꿀조합, 따끈한, 점심에붐비는, 숙취해소, 연중무휴, 취향저격"
"627679","서초구","일식·회, 주말, 쌀쌀할때, 비오는날, 매콤, 입소문난, 직원이자신있어하는, 점심, 부드러운, 버섯코코넛크림카레라이스, 내방, 비쥬얼, 속이든든한, 고퀄리티, 일본느낌, 카레우동, 가을, 입에서순삭, 풍미가깊은, 따끈한, 카레, 자극적인, 혼밥, 고소한, 졸맛"
"627865","동작구","고기, 한식, 제육볶음, 한끼식사되는, 저녁에붐비는, 밥집, 매콤, 입소문난, 점심, 저녁, 양푼생고기김치찌개, 속이든든한, 입에서순삭, 재료가신선한, 따끈한, 점심에붐비는, 사리넣으면맛있는, 단골폭발, 착한가격, 사르르녹는, 왕계란말이, 돼지고기김치찌개, 푸짐한, 집밥, 빨리먹을수있는, 졸맛"
"644348","송파구","한식, 빨리먹을수있는, 담백, 한끼식사되는, 치즈제육밥버거, 밥집, 음료판매, 점심, 깔끔, 퓨전한식, 쏘야밥버거, 가정식, 가성비갑, 캠퍼스안, 부담없는, 통살돈까스밥버거, 간편하게먹기, 착한가격, 햄치즈밥버거, 혼밥, 아점, 봉구스밥버거, 점저, 1인메뉴, 치즈떡갈비밥버거, 사무실"
"677876","마포구","양식, 핑거스테이크, Hola!감바스, 뉴욕에서온크림파스타치킨, 쉬림프볼케이노라이스, 1.50cm바게트브릿지"
"702610","강남구","양식, 퀘사디아, 타코"
"719368","동대문구","양식, 바베큐플레이트, 샐러드파스타"
"719572","동작구","일식·회, 아시안, 가라아게, 치킨"
"720405","송파구","일식·회, 양식, 돈가스, 우동"
"721382","성북구","한식, 낙지찜, 아구찜"
"735923","수원시 팔달구","한식, 한끼식사되는, 저녁에붐비는, 친구들이랑, 매콤, 음료판매, 저녁, 쭈삼꼬, 쭈삼이, 세트메뉴가있는, 한잔하고싶을때, 안주로딱좋은, 쭈꾸미삼겹살, 쭈꾸미, 밥볶아먹기좋은, 사리넣으면맛있는, 착한가격, 쫀득, 쫄깃쫄깃, 치즈가흐르는, 푸짐한"
"739609","관악구","고기, 한식, 입에서불나는, 회사동료랑, 얼큰고추장찌개, 고기성애자, 매콤, 회식, 직원이자신있어하는, 양푼이돼지김치찌개, 저녁, 주당, 오목찌개, 고퀄리티, 안주로딱좋은, 제육, 송년회, 따끈한, 데리야끼불백, 퇴근후, 푸짐한, 불맛, 김치찌개, 닭볶음탕, 매콤닭볶음탕"
"740790","수원시 영통구","디저트·커피, NEW, 감자고로케, 크림치즈고로케"
"742863","서초구","디저트·커피, 쉬폰케이크, 주말, 달콤, 음료판매, 친구들이랑, 티라미슈, 디저트홀릭, 인스타맛집, 베이커리, 우울할때, 여자들끼리, 브런치, 입맛없을때, 크레이프, 아메리카노, 고소한, 카페, 가벼운식사, 케이크, 연인끼리"
"743767","노원구","양식, 바삭바삭, 칠리치즈프라이, 깔끔, 저녁, 점심, 어니언버거, 육즙이흐르는, 고퀄리티, 치즈버거, 고급스러운, 수제버거, 착한가격, 미국식, 아메리칸푸드, 튀김덕후, 펍, 치즈가흐르는, 머쉬룸버거, 밀가루덕후, 연인끼리"
"752253","동대문구","고기, 한식, NEW, 달콤, 한끼식사되는, 밥집, 친구들이랑, 돈까스, 국밥성애자, 직원이자신있어하는, 점심, 저녁, 수제치즈돈까스, 아이와어른함께, 가성비갑, 함박스텍, 기사식당, 따끈한, TV맛집, 단골폭발, 짭짤한, 생선까스, 푸짐한, 이색맛집, 설렁탕, 집밥"
"753109","강서구","일식·회, NEW, 초밥, 정갈한, 회사동료랑, 재료가신선한, 친구들이랑, 입소문난, 속이풀리는, 해산물덕후, 촉촉, 혼마구로초밥, 가족식탁용, 일식전문, 탱글탱글"
"757584","수원시 영통구","한식, NEW, 콩비지찌개, 순두부찌개"
"758814","동작구","디저트·커피, 아삭아삭, 달콤, 여름, 음료판매, 친구들이랑, 이거저거다맛있음, 시원한, 디저트홀릭, 해쨍쨍, 망고치즈케이크빙수, 폭염, 레몬에이드, 스무디, 새콤, 힐링푸드, 빵, 간식, 아메리카노, 카페, 상큼"
"759134","성남시 분당구","null"
"776958","광진구","null"
"778121","강서구","분식, 디저트·커피, NEW, 아삭아삭, 밥집, 매콤, 점심, 깔끔, 베이커리, 부드러운, 김밥, 벌크샌드위치, 홈메이드스무디, 나들이, 가성비갑, 여자들끼리, 정갈한, 햄치즈샌드위치, 브런치, 샌드위치, 고소한, 사무실, 연인끼리"
"782889","성동구","일식·회, NEW, 연어초밥, 광어초밥"
"790928","영등포구","디저트·커피, 양식, NEW, 아보카도"
"791188","구로구","한식, NEW, 도가니탕, 곰탕"
"798324","강남구","한식, NEW, 도시락, 옛날치킨, 한강공원, 한끼식사되는, 바삭바삭, 밥집, 쌀덕후, 외국인친구랑, 점심, 깔끔, 소스가맛있는, 옛날도너츠, 나들이, 아이와어른함께, 정통한식, 짭짤한, 한식도시락, 고향의맛"
"801844","중구","null"
"36235","관악구","고기, 한식, 사무실, 주말, 고기성애자, 헤비한메뉴, 선선할때, 직원이자신있어하는, 저녁, 흥부족발, 퓨전한식, 내방, 나들이, 흥부특선, 향이좋은, 안주로딱좋은, 송년회, 남자들끼리, 흥부보쌈, 폭식하는날, 쫄깃쫄깃, 퇴근후, 보양식, 연중무휴, 레알인정"
"615126","양천구","분식, 치즈즉석볶음밥, 주말, 매콤, 모듬오뎅탕, 떡볶이, 속이든든한, 분식, 얼큰, 찬바람쌩쌩, 고고즉석떡볶이, 브런치, 자극적인, 착한가격, 간식, 동아리방, 이색맛집, 사리넣어먹으면맛있는, 입소문난, 선선할때, 짱맛, 꼬마김밥, 김밥, 캠퍼스안, 중독성쩔어, 치즈즉석떡볶이, 무침군만두, 힐링푸드, 매운음식덕후, 밥볶아먹기좋은, 쫄깃쫄깃, 야식"
"618551","부천시","아시안, 쌀쌀할때, 쌀국수, 밥집, 친구들이랑, 엄지척, 점심, 저녁, 이국적, 프랜차이즈, 또먹고싶다, 진한국물, 가성비갑, 속이든든한, 부담없는, 여자들끼리, 정갈한, 얼큰, 풍미가깊은, 찬바람쌩쌩, 저칼로리, 깐풍기, 면덕후, 퇴근후, 숙취해소, 점저, 맛점"
"678772","마포구","양식, 음료판매, 저녁, 스테이크, 리코타치즈샐러드, 향이좋은, 목살필라프, 페퍼로니피자, 씨푸드토마토, TV맛집, 새우리소토, 착한가격, 푸짐한, 연인끼리, 꿀맛, 이탈리안레스토랑, 점심, 드레싱이맛있는, 가성비갑, 피자, 풍미가깊은, 재료가신선한, 고급스러운, 따끈한, 대박, 데미소스찹스테이크, 고소한, 분위기낼때, 담백"
"679074","마포구","고기, 한식, 주말, 꿀맛, 밥집, 음료판매, 매콤, 점심, 저녁, 옹밥, 치즈찜닭, 진한국물, 향이좋은, 육즙이흐르는, 동창모임, 재료가신선한, 순살치즈찜닭, 찜닭, TV맛집, 신홍초찜닭, 밥볶아먹기좋은, 따끈한, 사리넣으면맛있는, 건강해지는느낌, 옹다래찜닭, 푸짐한, 보양식, 졸맛"
"680079","영등포구","한식, 쌀쌀할때, 계란말이, 저녁에붐비는, 밥집, 입소문난, 매콤, 짱맛, 눈오는날, 진한국물, 속이든든한, 중독성쩔어, 힐링푸드, 얼큰, 매운음식덕후, 사리넣으면맛있는, 단골폭발, 착한가격, 쫄깃쫄깃, 과방, 김치조치, 김치찌개, 집밥, 사무실, 고향의맛"
"686204","강남구","고기, 한식, 연인끼리, 주말, 한강공원, 밥집, 고기성애자, 엄지척, 직원이자신있어하는, 저녁, 갈비백탕, 퓨전한식, 고기굽기조절가능, 고퀄리티, 육즙이흐르는, 동창모임, 갈비탕, 송년회, 갈비찜누룽밥, 대박, 퇴근후, 기름진, 육회비빔밥, 한우차돌볶음밥, 동아리방, 푸짐한, 연중무휴, 사무실, 갈비홍탕"
"690425","서초구","한식, 모듬수육전골, 한판보쌈, 전통육개장, 사골떡만두국, 육개장칼국수, 차돌박이육개장"
"693152","성북구","디저트·커피, 브레이크타임있는, 한끼식사되는, 매콤, 저녁, 존맛, 집에서데이트, 내방, 청포도에이드, 속이든든한, 여자들끼리, 사르르녹는, 혼밥, 팔칠올인박스, 동아리방, 푸짐한, 모짜렐라고로케, 집밥, 사무실, 연인끼리, 꿀맛, 썸남썸녀랑, 덮밥덕후, 밥집, 호두단팥고로케, 점심, 게살통통고로케, 가족식탁용, 아이와어른함께, 가성비갑, 고퀄리티, 부담없는, 매운음식덕후, 점심에붐비는, 고로케, 과방, 숨겨진맛집, 피자고로케, 연중무휴"
"700280","강남구","양식, 브리또, 타코"
"718746","동작구","한식, 닭볶음탕, 소불고기"
"726707","성남시 분당구","디저트·커피, 샐러드, 샌드위치"
"730629","마포구","한식, 바삭바삭, 국물떡볶이, 친구들이랑, 음료판매, 불닭볶음밥, 모래집튀김, 저녁, 스트레스풀자, 튀김, 내방, 한잔하고싶을때, 가성비갑, 안주로딱좋은, 깐풍치킨, 짭짤한, 칼칼한, 야식, 맛있게매운, 깐풍모래집튀김, 탱글탱글, 치킨, 옛날통닭, 포차"
"730699","수원시 영통구","일식·회, 아시안, 수제함바그카레라이스, 덮밥덕후, 친구들이랑, 매콤, 규동, 깔끔, 사시사철, 카레전문, 세트메뉴가있는, 치킨세트, 일본느낌, 가라아게마요동, 돈부리, 따끈한, 해산물세트, 카레, 점심에붐비는, 입맛없을때, 포크세트, 토핑이다양한, 푸짐한, 런치세트, 연인끼리"
"731624","성북구","한식, 마라, 꿔바로우"
"733870","부평구","일식·회, 고기, 로스까스, 재주문욕구, 썸남썸녀랑, 해산물덕후, 깔끔, 참치회덮밥, 가성비갑, 부담없는, 입에서순삭, 초밥, 갓스시, 적당한, 사르르녹는, 입맛없을때, 튀김덕후, 튀김우동, 일식전문, 탱글탱글, 가츠동, 맛점, 연인끼리"
"736134","성남시 분당구","일식·회, 초밥, 사시미"
"741758","강동구","디저트·커피, 아이스크림, 케이크"
"744581","종로구","null"
"746118","도봉구","양식, 파스타, 스테이크"
"752698","부천시","디저트·커피, 아이스크림, 아이스크림케이크"
"753382","용산구","한식, NEW, 주말, 묵은지김치찜, 바삭바삭, 김치찜, 외국인친구랑, 항정살구이, 쫄면, 퓨전한식, 주당, 스트레스풀자, 내방, 한잔하고싶을때, 편맥과함께, 비쥬얼, 안주로딱좋은, 차돌박이짬뽕탕, 적당한, 짭짤한, 숙회, 분위기낼때, 포차"
