idx,sessionid,flag
1515,17e8352d7cc18be35cca06344b0d3857,iOS
1516,fd72094b4d3726696930b4665fa962f6,iOS
1519,5574c71b4a6d50768fcb5a3a3fcb549f,iOS
1520,861776b36a7d4c843327fad2fb490d1a,iOS
1523,fdd995edef381777a5f5c70b92a3c2e1,iOS
1524,ffbf4a5a23f99c7fa6b9e16902712f3f,iOS
1527,b24d20746109b95d645c82c37c98bbcd,iOS
1535,f6ba71eb801d03568ae511ade71f0a77,iOS
1539,2e0df7e585a62760ca06f2d3f3130cc4,iOS
1540,30e4609d3832686b45e04df1e06f99dd,iOS
1543,46ff75c6e0c8a581847e81467eee6e4b,iOS
1544,f2aa282d4bd0c14698167cc0ab0b2849,iOS
1548,ba96915171d8209eaeab72c8d3a6ac22,iOS
1551,c03cc887bc3e291813f50e8f2b0f53d5,iOS
1555,3cf59bd094eae16058385e7fab00b275,iOS
1560,eaee2b39b94429ab8b19e1342e9e2473,iOS
1561,7dbc24d82ad60943f7772e29c236adb7,iOS
1563,7f2f98fa4e9e902be40cd01b1a40cc92,iOS
1564,cf3188389ae5fd1f59c16ae57b3e17d2,iOS
1567,b2f7ed71c7538f00742ef75adf34226f,iOS
1568,ffa44757841a6379c36ecfe4810851e4,iOS
1571,ae885755ff272a63026c1f94eab76cbf,iOS
1572,28611bf4aeac958ed6344a2adec8a1bf,iOS
1575,516c0be55c74e6c10635eb08fb6461d8,iOS
1576,865e379a9320bb9a9ea308ac52d9212e,iOS
1581,c50c1dd50ec33cce11ebaa0862cb7950,iOS
1585,19d325bde6ec8ce8af405858ec23da4b,iOS
1598,e0aa5fd28f74fe35e71a861ca0c2593b,iOS
1602,0fe628b8406566d30791462be1e06300,iOS
1606,e9b2bffa9e0af710f5f14eaf24ec7506,iOS
1607,6b21597ba3c539098e7168b56975d687,iOS
1610,fc97a885d8b719c7b840f87d42b434c2,iOS
1611,55d30e99ac61d51ce71b382a37ce242f,iOS
1614,0cdd08a903acf1b739d50f5d8a1f67b0,iOS
1615,15461f4fd396442f08872ef0c86688b3,iOS
1622,0ea96a02bceecbff38c0741474ebf703,iOS
1623,9f8bc65070b9758ddedae878c7763949,iOS
1626,6d94c68f7fa8f68caea3dc5e38757dab,iOS
1630,09aa9ed23214b104a85837a339a226ca,iOS
1637,78ef14076afbe99aed26bec8795d45b4,iOS
