,day,group,usercnt
489,2016-08-22,4,114547
490,2016-09-18,5,83011
491,2016-10-15,7,16238
492,2016-08-22,5,57751
493,2016-09-18,6,39650
494,2016-10-26,1,2002488
495,2016-08-22,6,27908
496,2016-09-18,7,17016
497,2016-10-26,2,697200
498,2016-08-22,7,12388
499,2016-09-29,1,1812235
500,2016-10-26,3,339062
501,2016-09-29,2,616495
502,2016-09-02,1,1663721
503,2016-10-26,4,175796
504,2016-09-29,3,296578
505,2016-08-06,1,1587639
506,2016-09-02,2,532848
507,2016-10-26,5,92534
508,2016-09-29,4,154184
509,2016-08-06,2,478584
510,2016-09-02,3,248170
511,2016-10-26,6,44792
512,2016-09-29,5,77880
513,2016-08-06,3,215633
514,2016-09-02,4,126906
515,2016-10-26,7,18183
516,2016-09-29,6,37973
517,2016-08-06,4,109612
518,2016-09-02,5,68665
519,2016-09-29,7,16573
520,2016-08-06,5,59317
521,2016-09-02,6,33831
522,2016-10-10,1,1776821
523,2016-08-06,6,30013
524,2016-09-02,7,14960
525,2016-10-10,2,639586
526,2016-08-06,7,13284
527,2016-09-13,1,1636402
528,2016-10-10,3,312782
529,2016-08-17,1,1690069
530,2016-09-13,2,576568
531,2016-10-10,4,160503
532,2016-08-17,2,507370
533,2016-09-13,3,276472
534,2016-10-10,5,81299
535,2016-08-17,3,228703
536,2016-09-13,4,143922
537,2016-10-10,6,38396
538,2016-08-17,4,114818
539,2016-09-13,5,76767
540,2016-10-10,7,15949
541,2016-08-17,5,61345
542,2016-09-13,6,37326
543,2016-08-17,6,30717
544,2016-10-21,1,2049307
545,2016-09-13,7,15825
546,2016-09-24,1,1872940
547,2016-08-17,7,13799
548,2016-10-21,2,686350
549,2016-09-24,2,581225
550,2016-10-21,3,332136
551,2016-08-28,1,1715554
552,2016-08-01,1,1657880
553,2016-09-24,3,264341
554,2016-10-21,4,170406
555,2016-08-28,2,512466
556,2016-08-01,2,483545
557,2016-09-24,4,130914
558,2016-10-21,5,89517
559,2016-08-28,3,231633
560,2016-08-01,3,215872
561,2016-09-24,5,66797
562,2016-10-21,6,41952
563,2016-08-28,4,115987
564,2016-08-01,4,109186
565,2016-09-24,6,31544
566,2016-10-21,7,17070
567,2016-08-28,5,59081
568,2016-08-01,5,58486
569,2016-09-24,7,13407
570,2016-08-28,6,28678
